ContractType,Size,num_trades,avg_pnl,win_rate,total_pnl
Micro (MNQ),1,21,-4.238095238095238,28.57142857142857,-89.0
Micro (MNQ),2,12,-1.0833333333333333,33.33333333333333,-13.0
Micro (MNQ),3,6,-20.0,16.666666666666664,-120.0
Micro (MNQ),4,3,7.333333333333333,33.33333333333333,22.0
Micro (MNQ),5,4,-10.0,25.0,-40.0
Micro (MNQ),10,4,-20.0,25.0,-80.0
Micro (MNQ),15,6,-40.0,16.666666666666664,-240.0
Mini (NQ),1,3,228.33333333333334,66.66666666666666,685.0
Mini (NQ),2,18,-10.0,27.77777777777778,-180.0
Other (GCQ5),1,1,-80.0,0.0,-80.0
